count,from,to,timeframe,start,end
1,_publicservice,aniesbaswedan,1,2021-02-17 00:42:54,2021-02-27 06:54:03
2,_publicservice,jokowi,1,2021-02-17 00:42:54,2021-02-27 06:54:03
3,revenge00810455,jokowi,2,2021-02-17 00:43:06,2021-02-27 06:54:03
4,revenge00810455,jokowi,3,2021-02-17 00:48:13,2021-02-27 06:54:03
5,dusapanlandu,budimandjatmiko,4,2021-02-17 00:49:27,2021-02-27 06:54:03
6,dusapanlandu,reisa_ba,4,2021-02-17 00:49:27,2021-02-27 06:54:03
7,perupadata,jokowi,5,2021-02-17 00:49:54,2021-02-27 06:54:03
8,ged0ng,null,6,2021-02-17 00:50:23,2021-02-27 06:54:03
9,djhoen_,jokowi,7,2021-02-17 00:52:20,2021-02-27 06:54:03
10,dpwnasdemjkt,wibiandrino,8,2021-02-17 00:54:37,2021-02-27 06:54:03
11,dpwnasdemjkt,fraksinasdemjkt,8,2021-02-17 00:54:37,2021-02-27 06:54:03
12,linnasution,ch_chotlmah,9,2021-02-17 00:54:58,2021-02-27 06:54:03
13,linnasution,kiyai_marufamin,9,2021-02-17 00:54:58,2021-02-27 06:54:03
14,linnasution,dionbonjovi181,9,2021-02-17 00:54:58,2021-02-27 06:54:03
15,aprillagiaza,jokowi,10,2021-02-17 00:57:19,2021-02-27 06:54:03
16,rela_jerantut,kkmputrajaya,11,2021-02-17 00:58:20,2021-02-27 06:54:03
17,puspanitar_phg,kkmputrajaya,12,2021-02-17 00:58:21,2021-02-27 06:54:03
18,paem_fahimah,kkmputrajaya,12,2021-02-17 00:58:21,2021-02-27 06:54:03
19,pingpointid,abouttng,13,2021-02-17 01:00:01,2021-02-27 06:54:03
20,divacatrii,jokowi,14,2021-02-17 01:01:56,2021-02-27 06:54:03
21,hendris90,jokowi,15,2021-02-17 01:02:09,2021-02-27 06:54:03
22,mpokmae,jokowi,16,2021-02-17 01:02:55,2021-02-27 06:54:03
23,rilovebird,jokowi,17,2021-02-17 01:03:16,2021-02-27 06:54:03
24,guetionghoa,jokowi,18,2021-02-17 01:03:31,2021-02-27 06:54:03
25,ngkongroses,kemenkes_ri,19,2021-02-17 01:03:39,2021-02-27 06:54:03
26,beritajakarta,dinkesjkt,20,2021-02-17 01:04:13,2021-02-27 06:54:03
27,iina_surbakti,jokowi,21,2021-02-17 01:05:28,2021-02-27 06:54:03
28,bl4rrrrr,kemenkesri,22,2021-02-17 01:06:13,2021-02-27 06:54:03
29,bl4rrrrr,jokowi,22,2021-02-17 01:06:13,2021-02-27 06:54:03
30,iina_surbakti,jokowi,23,2021-02-17 01:06:29,2021-02-27 06:54:03
31,essiyzi,prilcila,24,2021-02-17 01:07:27,2021-02-27 06:54:03
32,essiyzi,kopiulubelu,24,2021-02-17 01:07:27,2021-02-27 06:54:03
33,abirekso,kemenkesri,25,2021-02-17 01:10:01,2021-02-27 06:54:03
34,abirekso,kemenbumn,25,2021-02-17 01:10:01,2021-02-27 06:54:03
35,_ahmadyu,andrazahira,26,2021-02-17 01:10:53,2021-02-27 06:54:03
36,_ahmadyu,_tewel7,26,2021-02-17 01:10:53,2021-02-27 06:54:03
37,_ahmadyu,jendismyname__,26,2021-02-17 01:10:53,2021-02-27 06:54:03
38,_ahmadyu,nadiacieta,26,2021-02-17 01:10:53,2021-02-27 06:54:03
39,_ahmadyu,qiunco2761,26,2021-02-17 01:10:53,2021-02-27 06:54:03
40,_ahmadyu,wefind__u,26,2021-02-17 01:10:53,2021-02-27 06:54:03
41,_ahmadyu,aristonoherawan,26,2021-02-17 01:10:53,2021-02-27 06:54:03
42,_ahmadyu,mbahstp_,26,2021-02-17 01:10:53,2021-02-27 06:54:03
43,_ahmadyu,nar__dwi,26,2021-02-17 01:10:53,2021-02-27 06:54:03
44,_ahmadyu,vaniaciprut,26,2021-02-17 01:10:53,2021-02-27 06:54:03
45,arunikaswastam1,jokowi,27,2021-02-17 01:12:12,2021-02-27 06:54:03
46,essiyzi,lamh_dauruq,28,2021-02-17 01:12:56,2021-02-27 06:54:03
47,arunikaswastam1,jokowi,28,2021-02-17 01:12:56,2021-02-27 06:54:03
48,essiyzi,tonaytoni,28,2021-02-17 01:12:56,2021-02-27 06:54:03
49,pelitabataks,jokowi,29,2021-02-17 01:17:58,2021-02-27 06:54:03
50,aprillagiaza,jokowi,30,2021-02-17 01:20:03,2021-02-27 06:54:03
