,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI,Dandhy_Laksono,bernamadotcom,dr_koko28,ferdiriva,hmetromy,Aryprasetyo85,BurhanMuhtadi,habibthink,BNPTRI,ismailfahmi,ChusnulCh__,tirta_hudhi,KakekHalal,NgkongRoses,detiksport,MuhyiddinYassin,PDI_Perjuangan,eko_kuntadhi,KemenBUMN,seruanhl,kompasiana,Andrazahira,asumsico,msaid_didu,Parapat_Nixon,GOAL_ID,DPR_RI,sahaL_AS,PerekonomianRI,P3nj3l4j4h_id,ainunnajib,narkosun,BadmintonTalk,merdekadotcom,BANGSAygSUJUD,BiLLRaY2019,SCTV,dewi_darmawati,okezonenews,Ch_Chotlmah,kempanrb,_TNIAL_,rmol_id,Jinggaviolet3,jawapos,mojokdotco,arjuno_ireng01,mazzini_gsp,bank_indonesia,n1ckeff
tribunnews,312358.2227,inf,inf,5235.666748,340231.2227,41415.22168,312663.2227,44973.22168,1847,inf,314616.2227,324974.2227,inf,57263.22168,inf,111007.2217,874,64806,207575.3359,inf,inf,334657.2227,314646.2227,inf,239013.2031,89163.5,934,179626.7031,49151.69141,1072,11467.28613,inf,42906,56932.22168,313752.2227,inf,0,312662.2227,inf,48854.69141,21595.42773,402711.2031,inf,inf,2123.333313,inf,46260,inf,316922.5562,58261.22168,51415.5,36060.5,36254,8359.75,339706.2227,inf,52227.25,192414.5261,5174,77367.78613,35515.33331,124419.5508,1773,1253,320932.3652,238648.2031,inf,92158.22168,125607,inf,4471.5,inf,273170.25,135391.2813,36643.33331,inf,inf,144490.9271,31022,206,16629.55566,5434.666748,326203.3652,inf,7876.214355,inf,324603.2227,520,inf,inf,153879.0313,52569.22168,6123.5,inf,958,209767.5781,inf,129299.3359,inf,1995.5
mediaindonesia,306329.9141,inf,inf,6654.166748,334202.9141,42833.72168,306634.9141,46391.72168,3265.5,inf,1954,318945.9141,inf,49010.69141,inf,112425.7217,3401,84059.39844,208993.8359,inf,inf,328628.9141,1984,inf,258266.6016,80897.83594,2221.5,198880.1016,43123.38281,2490.5,12885.78613,inf,53838.64844,58350.72168,1090,inf,306681.9141,0,inf,51381.69141,18854.09961,421964.6016,inf,inf,971.333313,inf,57192.64844,inf,310894.2476,59679.72168,53782.69141,55313.89844,42990.5,9778.25,333677.9141,inf,53645.75,193833.0261,7701,78786.28613,34363.33331,126946.5508,621,101,314904.0566,257901.6016,inf,83905.69141,127025.5,inf,5890,inf,275697.25,136809.7813,35491.33331,inf,inf,143338.9271,41954.64844,839.1538696,18048.05566,6175.15387,320175.0566,inf,7929.10144,inf,318574.9141,1099.785706,inf,inf,155652.834,53987.72168,8650.5,inf,2245.5,211186.0781,inf,136035.8359,inf,2048.387085
Beritasatu,314534.4727,inf,inf,7411.916748,342407.4727,43591.47168,314839.4727,47149.47168,4023.25,628,316792.4727,327150.4727,inf,59439.47168,inf,113183.4717,3050.25,67878,209751.5859,inf,inf,336833.4727,316822.4727,inf,242085.2031,92235.5,3110.25,182698.7031,51327.94141,3248.25,13643.53613,inf,45978,59108.47168,315928.4727,inf,3072,314838.4727,0,51030.94141,20115.27344,405783.2031,inf,inf,1516.333313,inf,49332,529.25,319098.8062,60437.47168,54487.5,39132.5,39326,10536,341882.4727,264,54403.5,194590.7761,7350.25,79544.03613,34908.33331,126595.8008,1166,646,323108.6152,241720.2031,inf,94334.47168,127783.25,inf,6647.75,inf,275346.5,137567.5313,36036.33331,inf,inf,143883.9271,34094,1384.15387,18805.80566,6720.15387,328379.6152,inf,8474.10144,444.5,326779.4727,1644.785706,inf,inf,156055.2813,54745.47168,8299.75,inf,3134.25,211943.8281,inf,132371.3359,inf,2593.387085
blogdokter,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,37644.5,inf,15176,inf,inf,inf,inf,343725.5,inf,78971.5,inf,75564.85938,inf,inf,inf,inf,inf,98272.5,inf,inf,inf,inf,inf,195135.3281,inf,inf,inf,312620,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,352694.5,inf,108221.3359,inf,inf
fadjroeL,384652.8438,inf,inf,390240.5105,412525.8438,54194.5,384957.8438,57752.5,386851.8438,inf,386910.8438,397268.8438,inf,70042.5,inf,123786.5,385878.8438,445532.3438,231415.5859,inf,inf,406951.8438,386940.8438,inf,276496,112562.5,385938.8438,217109.5,428080.2266,386076.8438,394761.8438,inf,427910.8438,69711.5,386046.8438,inf,385004.8438,384956.8438,inf,433859.5352,0,440194,inf,inf,385928.1771,inf,431264.8438,inf,389217.1772,71040.5,74814.5,416786.8438,421258.8438,393364.5938,412000.8438,inf,65172.5,213743.8281,390178.8438,82169.16797,36099.5,188451.25,385577.8438,385057.8438,393226.9863,276131,inf,101470.168,149447.25,inf,389476.3438,inf,658175.0938,248530.5859,37227.5,inf,inf,145075.0938,416026.8438,385210.8438,401634.3994,390439.5105,398497.9863,inf,392095.5581,inf,396897.8438,385524.8438,inf,inf,178074.584,65348.5,391128.3438,inf,385962.8438,222712.8281,inf,183828.168,inf,386214.8438
XavierNaxa,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
hariankompas,308600.375,inf,305.5,6330.25,51051.90723,43182.72168,308905.375,46740.72168,3614.5,689,2733.5,321216.375,inf,52269.19141,inf,112774.7217,2641.5,56210.23926,209342.8359,1541.5,inf,330899.375,2763.5,inf,185761.5791,84156.33594,2701.5,169316.9072,45393.84375,2839.5,13234.78613,inf,44673.5,58699.72168,1869.5,inf,1767.5,3258.5,159.5,50622.19141,20274.77344,302818.1885,0,inf,1526.5,inf,48027.5,468.3333435,313164.7085,60028.72168,53183,35928.40723,38021.5,10127.25,14336.90723,325,46120.60156,193509.1094,6941.5,64890.72656,34918.5,126187.0508,1227,707,317174.5176,228338.4072,35,84191.72656,127374.5,6,4690.214355,inf,274937.75,137158.7813,36046.5,inf,inf,143894.0938,32789.5,1445.15387,18397.05566,4185.549805,322445.5176,2081.5,8535.10144,427,9129.5,1705.785706,inf,inf,155646.5313,54336.72168,7891,inf,2725.5,203660.9297,89,131066.8359,inf,2654.387085
JKJAVMY,416641.8438,inf,inf,422229.5105,53245,86183.5,416946.8438,89741.5,418840.8438,inf,418899.8438,429257.8438,inf,102031.5,inf,155775.5,417867.8438,58647.66797,263404.5859,inf,inf,11481,418929.8438,inf,107001.1016,144551.5,417927.8438,154246.25,460069.2266,418065.8438,426750.8438,inf,459899.8438,101700.5,418035.8438,inf,416993.8438,416945.8438,inf,465848.5352,31989,169783.2969,inf,0,417917.1771,130,463253.8438,inf,421206.1772,103029.5,106803.5,32865,453247.8438,425353.5938,23226,inf,97161.5,245732.8281,422167.8438,114158.168,68088.5,220440.25,417566.8438,417046.8438,425215.9863,118482,inf,133459.168,181436.25,inf,421465.3438,inf,690164.0938,280519.5859,69216.5,inf,inf,177064.0938,448015.8438,417199.8438,433623.3994,422428.5105,430486.9863,inf,424084.5581,inf,428886.8438,417513.8438,inf,inf,210063.584,97337.5,423117.3438,inf,417951.8438,254701.8281,inf,215817.168,inf,418203.8438
tjhinfar21,421193.3438,inf,inf,426781.0105,449066.3438,90735,421498.3438,94293,423392.3438,inf,423451.3438,433809.3438,inf,106583,inf,160327,422419.3438,482072.8438,267956.0859,inf,inf,443492.3438,423481.3438,inf,313036.5,149103,422479.3438,253650,464620.7266,422617.3438,431302.3438,inf,464451.3438,106252,422587.3438,inf,421545.3438,421497.3438,inf,470400.0352,36540.5,476734.5,inf,inf,0,inf,467805.3438,inf,425757.6772,107581,111355,453327.3438,457799.3438,429905.0938,448541.3438,inf,101713,227526.8281,426719.3438,79461.66797,33392,203326.4531,422118.3438,421598.3438,429767.4863,312671.5,inf,98762.66797,185987.75,inf,426016.8438,inf,694715.5938,268034.668,34520,inf,inf,142367.5938,452567.3438,1072,438174.8994,6408,435038.4863,inf,8994.214355,inf,433438.3438,1386,inf,inf,214615.084,101889,427668.8438,inf,422503.3438,259253.3281,inf,181120.668,inf,3113.5
bharianmy,416511.8438,inf,inf,422099.5105,59811,86053.5,416816.8438,89611.5,418710.8438,inf,418769.8438,429127.8438,inf,101901.5,inf,155645.5,417737.8438,58517.66797,263274.5859,inf,inf,18047,418799.8438,inf,106871.1016,144421.5,417797.8438,154116.25,459939.2266,417935.8438,426620.8438,inf,459769.8438,101570.5,417905.8438,inf,416863.8438,416815.8438,inf,465718.5352,31859,169653.2969,inf,inf,417787.1771,0,463123.8438,inf,421076.1772,102899.5,106673.5,32735,453117.8438,425223.5938,23096,inf,97031.5,245602.8281,422037.8438,114028.168,67958.5,220310.25,417436.8438,416916.8438,425085.9863,118352,inf,133329.168,181306.25,inf,421335.3438,inf,690034.0938,280389.5859,69086.5,inf,inf,176934.0938,447885.8438,417069.8438,433493.3994,422298.5105,430356.9863,inf,423954.5581,inf,428756.8438,417383.8438,inf,inf,209933.584,97207.5,422987.3438,inf,417821.8438,254571.8281,inf,215687.168,inf,418073.8438
KemenkeuRI,326330.8438,inf,inf,331918.5105,354203.8438,368098.0654,326635.8438,371656.0654,328529.8438,inf,328588.8438,338946.8438,inf,375645.5352,inf,437690.0654,327556.8438,387210.3438,193337.3359,inf,inf,348629.8438,328618.8438,inf,525103.5156,54240.5,327616.8438,495878.5625,369758.2266,327754.8438,336439.8438,inf,369588.8438,383615.0654,327724.8438,inf,326682.8438,326634.8438,inf,375537.5352,345488.9434,567627.6094,inf,inf,327606.1771,inf,0,inf,330895.1772,12718.5,378098.3438,358464.8438,362936.8438,335042.5938,353678.8438,inf,378910.0938,322573.5,331856.8438,57819.5,360998.1771,186312.5,327255.8438,326735.8438,334904.9863,554900.0625,inf,77120.5,111369,inf,331154.3438,inf,599853.0938,210452.3359,362126.1771,inf,inf,197370.5,357704.8438,326888.8438,343312.3994,332117.5105,340175.9863,inf,333773.5581,inf,338575.8438,327202.8438,inf,inf,139996.334,379252.0654,332806.3438,inf,327640.8438,295602.3359,inf,159478.5,inf,327892.8438
YRadianto,315054.556,inf,inf,7932.000076,342927.556,44111.55501,315359.556,47669.55501,4543.333328,252.3333282,317312.556,327670.556,inf,59959.55501,inf,113703.555,3570.333328,67502.33333,210271.6693,inf,inf,337353.556,317342.556,inf,241709.5365,91859.83333,3630.333328,182323.0365,51848.02473,3768.333328,14163.61946,inf,45602.33333,59628.55501,316448.556,inf,2696.333328,315358.556,inf,51551.02473,24291.76106,405407.5365,inf,inf,1140.666641,inf,48956.33333,0,319618.8895,60957.55501,54111.83333,38756.83333,38950.33333,11056.08333,342402.556,inf,54923.58333,195110.8595,7870.333328,80064.11946,34532.66664,127115.8841,790.3333282,270.3333282,323628.6986,241344.5365,inf,94854.55501,128303.3333,inf,7167.833328,inf,275866.5833,138087.6146,35660.66664,inf,inf,143508.2604,33718.33333,1008.487198,19325.88899,6344.487198,328899.6986,inf,8098.434769,inf,327299.556,1269.119034,inf,inf,156575.3646,55265.55501,8819.833328,inf,3654.333328,212463.9115,inf,131995.6693,inf,2217.720413
TRANS7,371158.1765,inf,inf,2151,399031.1765,40699.83276,371463.1765,44257.83276,373357.1765,inf,373416.1765,383774.1765,inf,56547.83276,inf,110291.8328,372384.1765,432037.6765,217920.9187,inf,inf,393457.1765,373446.1765,inf,263001.3328,99067.83276,372444.1765,203614.8328,414585.5593,372582.1765,12807.66675,inf,81056,56216.83276,372552.1765,inf,371510.1765,371462.1765,inf,53238.16675,23224.16675,426699.3328,inf,inf,372433.5098,inf,84410,inf,0,57545.83276,61319.83276,403292.1765,68414.16675,6013.666748,398506.1765,inf,51677.83276,189329.8594,376684.1765,78708.16675,47340.19922,128803.0261,372083.1765,371563.1765,16056,262636.3328,inf,91442.83276,135952.5828,inf,375981.6765,inf,644680.4265,181211.3386,48468.19922,inf,inf,143091.9375,69172,371716.1765,15914.16675,2350,21327,inf,378600.8909,inf,383403.1765,372030.1765,inf,inf,164579.9167,51853.83276,377633.6765,inf,372468.1765,209218.1609,inf,142464.7683,inf,372720.1765
Kemenag_RI,313612.3438,inf,inf,319200.0105,341485.3438,355379.5654,313917.3438,358937.5654,315811.3438,inf,315870.3438,326228.3438,inf,362927.0352,inf,424971.5654,314838.3438,374491.8438,180618.8359,inf,inf,335911.3438,315900.3438,inf,512385.0156,41522,314898.3438,483160.0625,357039.7266,315036.3438,323721.3438,inf,356870.3438,370896.5654,315006.3438,inf,313964.3438,313916.3438,inf,362819.0352,332770.4434,554909.1094,inf,inf,314887.6771,inf,360224.3438,inf,318176.6772,0,365379.8438,345746.3438,350218.3438,322324.0938,340960.3438,inf,366191.5938,309855,319138.3438,45101,348279.6771,173594,314537.3438,314017.3438,322186.4863,542181.5625,inf,64402,98650.5,inf,318435.8438,inf,587134.5938,197733.8359,349407.6771,inf,inf,184652,344986.3438,314170.3438,330593.8994,319399.0105,327457.4863,inf,321055.0581,inf,325857.3438,314484.3438,inf,inf,127277.834,366533.5654,320087.8438,inf,314922.3438,282883.8359,inf,146760,inf,315174.3438
Dandhy_Laksono,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,306081,inf,41327,inf,169820,inf,inf,inf,inf,inf,60628,inf,inf,inf,inf,inf,229900,inf,inf,inf,274975.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,315050,inf,142986,inf,inf
bernamadotcom,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28745.5,inf,inf,inf,inf,inf,inf,202952.7031,inf,inf,143566.2031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,366650.7031,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,202587.7031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
dr_koko28,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,337302,inf,72548,inf,119879.3359,inf,inf,inf,inf,inf,91849,inf,inf,inf,inf,inf,179959.3281,inf,inf,inf,306196.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,93045.33594,inf,inf
ferdiriva,365144.5098,inf,inf,370732.1765,393017.5098,34686.16602,365449.5098,38244.16602,367343.5098,inf,367402.5098,377760.5098,inf,50534.16602,inf,104278.166,366370.5098,426024.0098,211907.252,inf,inf,387443.5098,367432.5098,inf,256987.666,93054.16602,366430.5098,197601.166,408571.8926,366568.5098,6794,inf,408402.5098,50203.16602,366538.5098,inf,365496.5098,365448.5098,inf,47224.5,17210.5,420685.666,inf,inf,366419.8431,inf,411756.5098,inf,369708.8433,51532.16602,55306.16602,397278.5098,62400.5,0,392492.5098,inf,45664.16602,194235.4941,370670.5098,72694.5,53310,122789.3594,366069.5098,365549.5098,373718.6523,256622.666,inf,85429.16602,129938.916,inf,369968.0098,inf,638666.7598,175197.6719,54438,inf,inf,162285.5938,396518.5098,365702.5098,9900.5,370931.1765,378989.6523,inf,372587.2241,inf,377389.5098,366016.5098,inf,inf,158566.25,45840.16602,371620.0098,inf,366454.5098,203204.4941,inf,136451.1016,inf,366706.5098
hmetromy,inf,inf,inf,inf,36715,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,41873.33203,inf,inf,inf,inf,inf,inf,171424.6719,inf,inf,154980,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,288481.2813,inf,inf,inf,inf,inf,inf,inf,inf,inf,21591.5,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,214001.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Aryprasetyo85,315166.2227,inf,inf,8043.666748,343039.2227,44223.22168,315471.2227,47781.22168,4655,364,317424.2227,327782.2227,inf,60071.22168,inf,113815.2217,3682,67614,210383.3359,inf,inf,337465.2227,317454.2227,inf,241821.2031,91971.5,3742,182434.7031,51959.69141,3880,14275.28613,inf,45714,59740.22168,316560.2227,inf,2808,315470.2227,inf,51662.69141,24403.42773,405519.2031,inf,inf,1252.333313,inf,49068,265.25,319730.5562,61069.22168,54223.5,38868.5,39062,11167.75,342514.2227,0,55035.25,195222.5261,7982,80175.78613,34644.33331,127227.5508,902,382,323740.3652,241456.2031,inf,94966.22168,128415,inf,7279.5,inf,275978.25,138199.2813,35772.33331,inf,inf,143619.9271,33830,1120.15387,19437.55566,6456.15387,329011.3652,inf,8210.10144,180.5,327411.2227,1380.785706,inf,inf,156687.0313,55377.22168,8931.5,inf,3766,212575.5781,inf,132107.3359,inf,2329.387085
BurhanMuhtadi,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,47390,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9642,inf,inf,inf,inf,inf,0,148571.3281,inf,50969,inf,179462,inf,inf,inf,inf,inf,70270,inf,inf,inf,inf,inf,239542,inf,inf,inf,190520,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,157540.3281,inf,152628,inf,inf
habibthink,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,110370,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
BNPTRI,370783.1765,inf,inf,1776,398656.1765,40324.83276,371088.1765,43882.83276,372982.1765,inf,373041.1765,383399.1765,inf,56172.83276,inf,109916.8328,372009.1765,431662.6765,217545.9187,inf,inf,393082.1765,373071.1765,inf,262626.3328,98692.83276,372069.1765,203239.8328,414210.5593,372207.1765,12432.66675,inf,50733,55841.83276,372177.1765,inf,371135.1765,371087.1765,inf,52863.16675,22849.16675,426324.3328,inf,inf,372058.5098,inf,54087,inf,375347.51,57170.83276,60944.83276,402917.1765,44081,5638.666748,398131.1765,inf,51302.83276,188954.8594,0,78333.16675,46965.19922,128428.0261,371708.1765,371188.1765,379357.3191,262261.3328,inf,91067.83276,135577.5828,inf,375606.6765,inf,644305.4265,173783,48093.19922,inf,inf,142716.9375,38849,371341.1765,15539.16675,1975,384628.3191,inf,378225.8909,inf,383028.1765,371655.1765,inf,inf,164204.9167,51478.83276,1552,inf,372093.1765,208843.1609,inf,137126.3359,inf,372345.1765
ismailfahmi,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,264754,inf,0,inf,128493,inf,inf,inf,inf,inf,19301,inf,inf,inf,inf,inf,188573,inf,inf,inf,233648.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101659,inf,inf
ChusnulCh__,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,194134.8281,inf,46069.66797,0,174562.668,inf,inf,inf,inf,inf,65370.66797,inf,inf,inf,inf,inf,234642.668,1128,inf,inf,108975.5938,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,147728.668,inf,inf
tirta_hudhi,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KakekHalal,421791.8438,inf,inf,427379.5105,449664.8438,91333.5,422096.8438,94891.5,423990.8438,inf,424049.8438,434407.8438,inf,107181.5,inf,160925.5,423017.8438,482671.3438,268554.5859,inf,inf,444090.8438,424079.8438,inf,313635,149701.5,423077.8438,254248.5,465219.2266,423215.8438,431900.8438,inf,465049.8438,106850.5,423185.8438,inf,422143.8438,422095.8438,inf,470998.5352,37139,477333,inf,inf,598.5,inf,468403.8438,inf,426356.1772,108179.5,111953.5,453925.8438,458397.8438,430503.5938,449139.8438,inf,102311.5,228125.3281,427317.8438,80060.16797,33990.5,203924.9531,0,422196.8438,430365.9863,313270,inf,99361.16797,186586.25,inf,426615.3438,inf,695314.0938,268633.168,35118.5,inf,inf,142966.0938,453165.8438,1670.5,438773.3994,7006.5,435636.9863,inf,9592.714355,inf,434036.8438,1984.5,inf,inf,215213.584,102487.5,428267.3438,inf,423101.8438,259851.8281,inf,181719.168,inf,3712
NgkongRoses,420806.1295,inf,inf,426393.7962,448679.1295,90347.78571,421111.1295,93905.78571,423005.1295,inf,423064.1295,433422.1295,inf,106195.7857,inf,159939.7857,422032.1295,481685.6295,267568.8716,inf,inf,443105.1295,423094.1295,inf,312649.2857,148715.7857,422092.1295,253262.7857,464233.5123,422230.1295,430915.1295,inf,464064.1295,105864.7857,422200.1295,inf,421158.1295,421110.1295,inf,470012.8209,36153.28571,476347.2857,inf,inf,870.333313,inf,467418.1295,inf,425370.463,107193.7857,110967.7857,452940.1295,457412.1295,429517.8795,448154.1295,inf,101325.7857,228397.1614,426332.1295,80332.00128,34262.33331,202992.607,520,0,429380.272,312284.2857,inf,99633.00128,185600.5357,inf,425629.6295,inf,694328.3795,268905.0013,35390.33331,inf,inf,143237.9271,452180.1295,738.1538696,437787.6851,6074.15387,434651.272,inf,7828.10144,inf,433051.1295,998.7857056,inf,inf,214227.8697,101501.7857,427281.6295,inf,422116.1295,258866.1138,inf,181991.0013,inf,1947.387085
detiksport,397810.8438,inf,inf,403398.5105,425683.8438,67352.5,398115.8438,70910.5,400009.8438,inf,400068.8438,410426.8438,inf,83200.5,inf,136944.5,399036.8438,458690.3438,244573.5859,inf,inf,420109.8438,400098.8438,inf,289654,125720.5,399096.8438,230267.5,441238.2266,399234.8438,407919.8438,inf,441068.8438,82869.5,399204.8438,inf,398162.8438,398114.8438,inf,447017.5352,13158,453352,inf,inf,399086.1771,inf,444422.8438,inf,402375.1772,84198.5,87972.5,429944.8438,434416.8438,406522.5938,425158.8438,inf,78330.5,226901.8281,403336.8438,95327.16797,49257.5,201609.25,398735.8438,398215.8438,0,289289,inf,114628.168,162605.25,inf,402634.3438,inf,671333.0938,261688.5859,50385.5,inf,inf,158233.0938,429184.8438,398368.8438,414792.3994,403597.5105,5271,inf,405253.5581,inf,410055.8438,398682.8438,inf,inf,191232.584,78506.5,404286.3438,inf,399120.8438,235870.8281,inf,196986.168,inf,399372.8438
MuhyiddinYassin,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,365,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,164063,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PDI_Perjuangan,309950.4141,inf,inf,7536.416748,337823.4141,43715.97168,310255.4141,47273.97168,4147.75,752.5,3095.5,322566.4141,inf,52631.19141,inf,113307.9717,3174.75,68002.5,209876.0859,1506.5,inf,332249.4141,3125.5,inf,242209.7031,84518.33594,3234.75,182823.2031,46743.88281,3372.75,13768.03613,inf,46102.5,59232.97168,2231.5,inf,3196.5,3620.5,124.5,51155.44141,20239.77344,405907.7031,inf,inf,1640.833313,inf,49456.5,653.75,314514.7476,60561.97168,54612,39257,39450.5,10660.5,337298.4141,388.5,46085.60156,194656.9297,7474.75,64855.72656,35032.83331,126720.3008,1290.5,770.5,318524.5566,241844.7031,0,84156.72656,127907.75,inf,6772.25,inf,275471,137692.0313,36160.83331,inf,inf,144008.4271,34218.5,1508.65387,18930.30566,4249.049805,323795.5566,2046.5,8598.60144,569,9094.5,1769.285706,inf,inf,156179.7813,54869.97168,8424.25,inf,3258.75,203625.9297,152.5,132495.8359,inf,2717.887085
