,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI,Dandhy_Laksono,bernamadotcom,dr_koko28,ferdiriva,hmetromy,Aryprasetyo85,BurhanMuhtadi,habibthink,BNPTRI,ismailfahmi,ChusnulCh__,tirta_hudhi,KakekHalal,NgkongRoses,detiksport,MuhyiddinYassin,PDI_Perjuangan,eko_kuntadhi,KemenBUMN,seruanhl,kompasiana,Andrazahira,asumsico,msaid_didu,Parapat_Nixon,GOAL_ID,DPR_RI,sahaL_AS,PerekonomianRI,P3nj3l4j4h_id,ainunnajib,narkosun,BadmintonTalk,merdekadotcom,BANGSAygSUJUD,BiLLRaY2019,SCTV,dewi_darmawati,okezonenews,Ch_Chotlmah,kempanrb,_TNIAL_,rmol_id,Jinggaviolet3,jawapos,mojokdotco,arjuno_ireng01,mazzini_gsp,bank_indonesia,n1ckeff
KemensetnegRI,323556.5313,inf,inf,4432.666748,351429.5313,40612.22168,323861.5313,44170.22168,1044,inf,325814.5313,336172.5313,inf,56460.22168,inf,110204.2217,324782.5313,81837.89844,206772.3359,inf,inf,345855.5313,325844.5313,inf,256045.1016,90424.52344,0,196658.6016,60350,269,10664.28613,inf,52539.5,56129.22168,324950.5313,inf,323908.5313,323860.5313,inf,52058.28613,20661.42773,419743.1016,inf,inf,1189.333313,inf,55893.5,inf,328120.8647,57458.22168,58208.09375,53092.39844,40769,7556.75,350904.5313,inf,51424.25,191611.5261,5986,76564.78613,34581.33331,127623.1455,839,319,332130.6738,255680.1016,inf,91355.22168,124804,inf,3668.5,inf,597078.7813,134588.2813,35709.33331,inf,inf,143556.9271,40655.5,1057.15387,15826.55566,4631.666748,337401.6738,inf,7354.714355,inf,335801.5313,1317.785706,inf,inf,153431.334,51766.22168,7538,inf,24,208964.5781,inf,133814.3359,inf,1474
Khairykj,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59386.5,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,223084.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59021.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
setkabgoid,263206.5313,inf,inf,268794.198,291079.5313,18400.66699,263511.5313,21958.66699,265405.5313,inf,265464.5313,275822.5313,inf,34248.66699,inf,87992.66699,264432.5313,324086.0313,178107.7656,inf,inf,285505.5313,265494.5313,inf,240702.167,72047.16699,264492.5313,181315.667,0,264630.5313,273315.5313,inf,14452.66699,33917.66699,264600.5313,inf,263558.5313,263510.5313,inf,312413.2227,282364.6309,404400.167,inf,inf,264481.8646,inf,17806.66699,inf,267770.8647,30525.16699,39020.66699,295340.5313,12445,271918.2813,290554.5313,inf,29378.66699,177949.9951,268732.5313,51020.66797,4951,132324.3359,264131.5313,263611.5313,271780.6738,240337.167,inf,69143.66699,96139.42969,inf,268030.0313,inf,536728.7813,153016.6719,6079,inf,inf,113926.5938,7213,263764.5313,280188.0869,268993.198,277051.6738,inf,270649.2456,inf,275451.5313,264078.5313,inf,inf,124766.7637,29554.66699,269682.0313,inf,264516.5313,186918.9951,inf,105490.3359,inf,264768.5313
antaranews,323287.5313,inf,inf,7493,351160.5313,46041.83276,323592.5313,49599.83276,325486.5313,inf,325545.5313,335903.5313,inf,61889.83276,inf,115633.8328,324513.5313,90728.5,206503.3359,inf,inf,345586.5313,325575.5313,inf,264935.7031,97231.39844,324573.5313,205549.2031,60081,0,18149.66675,inf,59758,61558.83276,324681.5313,inf,323639.5313,323591.5313,inf,58580.16675,28566.16675,428633.7031,inf,inf,324562.8646,inf,63112,inf,327851.8647,62887.83276,59483.39844,61983,40500,11355.66675,350635.5313,inf,57019.83276,194671.8594,328813.5313,84050.16675,52682.19922,134145.0261,324212.5313,323692.5313,331861.6738,264570.7031,inf,96784.83276,124535,inf,328111.0313,inf,596809.7813,134319.2813,53810.19922,inf,inf,148433.9375,47874,323845.5313,21256.16675,7692,337132.6738,inf,330730.2456,inf,335532.5313,324159.5313,inf,inf,153162.334,57195.83276,329763.0313,inf,324597.5313,214560.1609,inf,133545.3359,inf,324849.5313
KawalCOVID19,363422.0098,inf,inf,369009.6765,391295.0098,32963.66602,363727.0098,36521.66602,365621.0098,inf,365680.0098,376038.0098,inf,48811.66602,inf,102555.666,364648.0098,424301.5098,210184.752,inf,inf,385721.0098,365710.0098,inf,255265.166,91331.66602,364708.0098,195878.666,406849.3926,364846.0098,0,inf,406680.0098,48480.66602,364816.0098,inf,363774.0098,363726.0098,inf,41394,15488,418963.166,inf,inf,364697.3431,inf,410034.0098,inf,367986.3433,49809.66602,53583.66602,395556.0098,56570,372133.7598,390770.0098,inf,43941.66602,192512.9941,368948.0098,65900.5,49076,116958.8594,364347.0098,363827.0098,371996.1523,254900.166,inf,83706.66602,128216.416,inf,368245.5098,inf,636944.2598,168403.6719,50204,inf,inf,158051.5938,394796.0098,363980.0098,8178,369208.6765,377267.1523,inf,370864.7241,inf,375667.0098,364294.0098,inf,inf,156843.75,44117.66602,369897.5098,inf,364732.0098,201481.9941,inf,134728.6016,inf,364984.0098
RadioElshinta,301939.6992,inf,inf,5190.856934,329812.6992,43682.22168,302244.6992,47240.22168,4114,inf,304197.6992,314555.6992,inf,59530.22168,inf,113274.2217,3141,84907.89844,209842.3359,inf,inf,324238.6992,304227.6992,inf,259115.1016,93494.52344,3201,199728.6016,38733.16797,3339,13734.28613,0,53185.83496,59199.22168,303333.6992,inf,302291.6992,302243.6992,inf,51121.69141,23862.42773,422813.1016,inf,inf,1334.5,inf,56539.83496,inf,306504.0327,60528.22168,61278.09375,56162.39844,43839,9053.523682,329287.6992,inf,54494.25,192369.7163,7441,79634.78613,34726.5,126686.5508,736,3520,310513.8418,258750.1016,inf,94425.22168,127874,inf,6738.5,inf,275437.25,137658.2813,35854.5,inf,inf,143702.0938,43821.35156,2406.5,18896.55566,5389.856934,315784.8418,inf,10143.21436,inf,314184.6992,2720.5,inf,inf,156146.0313,54836.22168,8390.5,inf,3225,212034.5781,inf,136884.3359,inf,4262.5
kemkominfo,329684.8438,inf,inf,335272.5105,357557.8438,3948,329989.8438,7506,331883.8438,inf,331942.8438,342300.8438,inf,19796,inf,73540,330910.8438,390564.3438,181169.0859,inf,inf,351983.8438,331972.8438,inf,226249.5,57594.5,330970.8438,166863,373112.2266,331108.8438,339793.8438,inf,0,19465,331078.8438,inf,330036.8438,329988.8438,inf,378891.5352,348842.9434,389947.5,inf,inf,330960.1771,inf,3354,inf,334249.1772,16072.5,24568,361818.8438,366290.8438,338396.5938,357032.8438,inf,14926,163497.3281,335210.8438,61173.5,364352.1771,138204.75,330609.8438,330089.8438,338258.9863,225884.5,inf,54691,99200.75,inf,334508.3438,inf,603207.0938,198284.0859,365480.1771,inf,inf,200724.5,361058.8438,330242.8438,346666.3994,335471.5105,343529.9863,inf,337127.5581,inf,341929.8438,330556.8438,inf,inf,127828.084,15102,336160.3438,inf,330994.8438,172466.3281,inf,162832.5,inf,331246.8438
nu_online,314941.3438,inf,inf,320529.0105,342814.3438,356708.5654,315246.3438,360266.5654,317140.3438,inf,317199.3438,327557.3438,inf,364256.0352,inf,426300.5654,316167.3438,375820.8438,181947.8359,inf,inf,337240.3438,317229.3438,inf,513714.0156,42851,316227.3438,484489.0625,358368.7266,316365.3438,325050.3438,inf,358199.3438,0,316335.3438,inf,315293.3438,315245.3438,inf,364148.0352,334099.4434,556238.1094,inf,inf,316216.6771,inf,361553.3438,inf,319505.6772,1329,366708.8438,347075.3438,351547.3438,323653.0938,342289.3438,inf,367520.5938,311184,320467.3438,46430,349608.6771,129203.5,315866.3438,315346.3438,323515.4863,543510.5625,inf,65731,99979.5,inf,319764.8438,inf,588463.5938,189283.5,350736.6771,inf,inf,181539.1719,346315.3438,315499.3438,331922.8994,320728.0105,328786.4863,inf,322384.0581,inf,327186.3438,315813.3438,inf,inf,128606.834,367862.5654,321416.8438,inf,316251.3438,284212.8359,inf,148089,inf,316503.3438
tni_ad,307718.9141,inf,inf,6672.666748,335591.9141,42852.22168,308023.9141,46410.22168,3284,inf,864,320334.9141,inf,50399.69141,inf,112444.2217,2311,84077.89844,209012.3359,inf,inf,330017.9141,894,inf,258285.1016,82286.83594,2371,198898.6016,44512.38281,2509,12904.28613,inf,54910.5,58369.22168,0,inf,308070.9141,1389,inf,50291.69141,20243.09961,421983.1016,inf,inf,1631,inf,58264.5,inf,312283.2476,59698.22168,55171.69141,55332.39844,43009,9796.75,335066.9141,inf,53664.25,193851.5261,6611,78804.78613,35023,125856.5508,1511,991,316293.0566,257920.1016,inf,85294.69141,127044,inf,5908.5,inf,274607.25,136828.2813,36151,inf,inf,143998.5938,43026.5,1643,18066.55566,6871.666748,321564.0566,inf,8819.10144,inf,319963.9141,1957,inf,inf,155316.0313,54006.22168,7560.5,inf,2395,211204.5781,inf,136054.3359,inf,2938.387085
addiems,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,252718,inf,inf,inf,inf,inf,inf,inf,inf,inf,7265,inf,inf,inf,inf,inf,inf,inf,inf,inf,363088,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
