,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI
antaranews,323287.53125,inf,inf,7493.0,351160.53125,78481.6669921875,323592.53125,82039.6669921875,325486.53125,inf,325545.53125,335903.53125,inf,94329.6669921875,inf,487260.53125,324513.53125,396627.53125,271225.6669921875,inf,inf,345586.53125,325575.53125,inf,300783.1669921875,97231.3984375,324573.53125,241396.6669921875,60081.0,0.0,333396.53125,inf,74533.6669921875,93998.6669921875,324681.53125,inf,323639.53125,323591.53125,inf,372494.22265625,29770.0,464481.1669921875,inf,inf,325252.53125,inf,77887.6669921875,inf,327851.86474609375,90606.1669921875
KawalCOVID19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,41394.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
RadioElshinta,301939.69921875,inf,inf,5190.85693359375,329812.69921875,48651.77734375,302244.69921875,52209.77734375,4114.0,inf,304197.69921875,314555.69921875,inf,64499.77734375,inf,465912.69921875,3141.0,375279.69921875,246117.27734375,inf,inf,324238.69921875,304227.69921875,inf,270953.27734375,93494.5234375,3201.0,211566.77734375,38733.16796875,3339.0,13734.2861328125,0.0,53185.8349609375,64168.77734375,303333.69921875,inf,302291.69921875,302243.69921875,inf,51121.69140625,26206.5546875,434651.27734375,inf,inf,1401.0,inf,56539.8349609375,inf,306504.03271484375,65497.77734375
kemkominfo,329684.84375,inf,inf,335272.5104980469,357557.84375,3948.0,329989.84375,7506.0,331883.84375,inf,331942.84375,342300.84375,inf,19796.0,inf,493657.84375,330910.84375,403024.84375,196692.0,inf,inf,351983.84375,331972.84375,inf,226249.5,57594.5,330970.84375,166863.0,373112.2265625,331108.84375,339793.84375,inf,0.0,19465.0,331078.84375,inf,330036.84375,329988.84375,inf,378891.53515625,348842.943359375,389947.5,inf,inf,331649.84375,inf,3354.0,inf,334249.17724609375,16072.5
nu_online,314941.34375,inf,inf,320529.0104980469,342814.34375,361678.12109375,315246.34375,365236.12109375,317140.34375,inf,317199.34375,327557.34375,inf,364256.03515625,inf,478914.34375,316167.34375,388281.34375,181948.5,inf,inf,337240.34375,317229.34375,inf,543875.5625,42851.0,316227.34375,484489.0625,358368.7265625,316365.34375,325050.34375,inf,368766.84375,0.0,316335.34375,inf,315293.34375,315245.34375,inf,364148.03515625,334099.443359375,556238.109375,inf,inf,316906.34375,inf,372120.84375,inf,319505.67724609375,1329.0
tni_ad,307718.9140625,inf,inf,6672.666748046875,335591.9140625,47821.77734375,308023.9140625,51379.77734375,3284.0,inf,864.0,320334.9140625,inf,50399.69140625,inf,162579.0,2311.0,381058.9140625,245287.27734375,inf,inf,330017.9140625,894.0,inf,270123.27734375,82286.8359375,2371.0,210736.77734375,44512.3828125,2509.0,12904.2861328125,inf,54910.5,63338.77734375,0.0,inf,308070.9140625,1389.0,inf,50291.69140625,20243.099609375,433821.27734375,inf,inf,1631.0,inf,58264.5,inf,312283.24755859375,64667.77734375
addiems,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
tribunnews,312358.22265625,inf,inf,5235.666748046875,340231.22265625,46384.77734375,312663.22265625,49942.77734375,1847.0,inf,314616.22265625,324974.22265625,inf,62232.77734375,inf,476331.22265625,874.0,385698.22265625,243850.27734375,inf,inf,334657.22265625,314646.22265625,inf,268686.27734375,89163.5,934.0,209299.77734375,49151.69140625,1072.0,11467.2861328125,inf,53473.5,61901.77734375,313752.22265625,inf,0.0,312662.22265625,inf,48854.69140625,23939.5546875,432384.27734375,inf,inf,314323.22265625,inf,56827.5,inf,316922.55615234375,63230.77734375
mediaindonesia,306329.9140625,inf,inf,6654.166748046875,334202.9140625,47803.27734375,306634.9140625,51361.27734375,3265.5,inf,1954.0,318945.9140625,inf,49010.69140625,inf,163669.0,3401.0,379669.9140625,245268.77734375,inf,inf,328628.9140625,1984.0,inf,270104.77734375,80897.8359375,2221.5,210718.27734375,43123.3828125,2490.5,12885.7861328125,inf,54761.0,63320.27734375,1090.0,inf,306681.9140625,0.0,inf,51381.69140625,18854.099609375,433802.77734375,inf,inf,1661.0,inf,58115.0,inf,310894.24755859375,64649.27734375
Beritasatu,314534.47265625,inf,inf,7411.916748046875,342407.47265625,48561.02734375,314839.47265625,52119.02734375,4023.25,inf,316792.47265625,327150.47265625,inf,64409.02734375,inf,478507.47265625,3050.25,387874.47265625,246026.52734375,inf,inf,336833.47265625,316822.47265625,inf,270862.52734375,93403.7734375,3110.25,211476.02734375,51327.94140625,3248.25,13643.5361328125,inf,55649.75,64078.02734375,315928.47265625,inf,314886.47265625,314838.47265625,0.0,51030.94140625,20115.2734375,434560.52734375,inf,inf,1768.6666259765625,inf,59003.75,inf,319098.80615234375,65407.02734375
