count,from,to,timeframe,start,end
1,safira_floran,tmcpoldametro,1,2021-07-20 06:46:24,2021-07-25 06:39:33
2,safira_floran,ini_polisi,1,2021-07-20 06:46:24,2021-07-25 06:39:33
3,garenghallu,jokowi,2,2021-07-20 07:00:44,2021-07-25 06:39:33
4,rtm_malaysia,jkjavmy,3,2021-07-20 07:15:00,2021-07-25 06:39:33
5,yd_che,kai121,4,2021-07-20 07:20:41,2021-07-25 06:39:33
6,hanyabisaapa,pemkotmalang,5,2021-07-20 07:31:36,2021-07-25 06:39:33
7,hanyabisaapa,dinkesjatim,5,2021-07-20 07:31:36,2021-07-25 06:39:33
8,hanyabisaapa,infomalang,5,2021-07-20 07:31:36,2021-07-25 06:39:33
9,hanyabisaapa,jatimpemprov,5,2021-07-20 07:31:36,2021-07-25 06:39:33
10,hanyabisaapa,yusufgunawan,5,2021-07-20 07:31:36,2021-07-25 06:39:33
11,hanyabisaapa,cityguide911fm,5,2021-07-20 07:31:36,2021-07-25 06:39:33
12,hanyabisaapa,diskes_komal,5,2021-07-20 07:31:36,2021-07-25 06:39:33
13,hanyabisaapa,infomalangkab,5,2021-07-20 07:31:36,2021-07-25 06:39:33
14,kokamnasional,mucovid19,6,2021-07-20 07:32:43,2021-07-25 06:39:33
15,si_anakkampung,kokokdirgantoro,7,2021-07-20 07:39:22,2021-07-25 06:39:33
16,si_anakkampung,abirekso,7,2021-07-20 07:39:22,2021-07-25 06:39:33
17,si_anakkampung,andisaifulhaq,7,2021-07-20 07:39:22,2021-07-25 06:39:33
18,si_anakkampung,akunsudi,7,2021-07-20 07:39:22,2021-07-25 06:39:33
19,abyf99,ninadaibachtiar,8,2021-07-20 07:45:42,2021-07-25 06:39:33
20,abyf99,halimiskandarnu,8,2021-07-20 07:45:42,2021-07-25 06:39:33
21,abyf99,tppkemendes,8,2021-07-20 07:45:42,2021-07-25 06:39:33
22,fmkbr1,jokowi,9,2021-07-20 07:51:07,2021-07-25 06:39:33
23,fmkbr1,divhumas_polri,9,2021-07-20 07:51:07,2021-07-25 06:39:33
24,fmkbr1,kemenkesri,9,2021-07-20 07:51:07,2021-07-25 06:39:33
25,patriot016610,aniesbaswedan,10,2021-07-20 07:53:00,2021-07-25 06:39:33
26,patriot016610,dkijakarta,10,2021-07-20 07:53:00,2021-07-25 06:39:33
27,milaaww_,halodocid,11,2021-07-20 08:09:26,2021-07-25 06:39:33
28,qronoz,_tnial_,12,2021-07-20 08:11:31,2021-07-25 06:39:33
29,mollyshearts,dkksemarang,13,2021-07-20 08:23:04,2021-07-25 06:39:33
30,mollyshearts,ganjarpranowo,13,2021-07-20 08:23:04,2021-07-25 06:39:33
31,sellyysiregar,jogja24jam,14,2021-07-20 08:31:11,2021-07-25 06:39:33
32,sellyysiregar,jogjaupdate,14,2021-07-20 08:31:11,2021-07-25 06:39:33
33,sellyysiregar,humas_jogja,14,2021-07-20 08:31:11,2021-07-25 06:39:33
34,sellyysiregar,infovaksindiy,14,2021-07-20 08:31:11,2021-07-25 06:39:33
35,sellyysiregar,jogjainfo,14,2021-07-20 08:31:11,2021-07-25 06:39:33
36,sellyysiregar,yogyakartacity,14,2021-07-20 08:31:11,2021-07-25 06:39:33
37,sellyysiregar,berandajogja,14,2021-07-20 08:31:11,2021-07-25 06:39:33
38,sellyysiregar,infojogja,14,2021-07-20 08:31:11,2021-07-25 06:39:33
39,mylonceng,perupadata,15,2021-07-20 08:34:23,2021-07-25 06:39:33
40,mylonceng,kemenkes_ri,15,2021-07-20 08:34:23,2021-07-25 06:39:33
41,udir73,profesorzubairi,16,2021-07-20 08:34:30,2021-07-25 06:39:33
42,udir73,msaid_didu,16,2021-07-20 08:34:30,2021-07-25 06:39:33
43,udir73,ramlirizal,16,2021-07-20 08:34:30,2021-07-25 06:39:33
44,teukuraditya_ah,prabowo,17,2021-07-20 08:37:04,2021-07-25 06:39:33
45,sandra_hut,jokowi,18,2021-07-20 08:37:59,2021-07-25 06:39:33
