count,from,to,timeframe,start,end
73,aji_balam,dinkes_lampung,42,2021-01-24 07:46:29,2021-01-31 04:55:30
74,aji_balam,pemprov_lampung,42,2021-01-24 07:46:29,2021-01-31 04:55:30
75,aji_balam,kemenkesri,42,2021-01-24 07:46:29,2021-01-31 04:55:30
76,hussainiamran,bbc_pn,43,2021-01-24 08:04:00,2021-01-31 04:55:30
77,bbc_pn,bbc_pn,44,2021-01-24 08:04:08,2021-01-31 04:55:30
78,dkijakarta,bnpb_indonesia,45,2021-01-24 08:12:18,2021-01-31 04:55:30
79,humasjateng,ganjarpranowo,46,2021-01-24 08:30:58,2021-01-31 04:55:30
80,humasjateng,kemenkesri,46,2021-01-24 08:30:58,2021-01-31 04:55:30
81,embahnyutz,embahdokthir,47,2021-01-24 09:05:47,2021-01-31 04:55:30
82,tonaytoni,kianinara1,48,2021-01-24 09:28:25,2021-01-31 04:55:30
83,tonaytoni,semut2semut,48,2021-01-24 09:28:25,2021-01-31 04:55:30
84,tonaytoni,bang_akbar84,48,2021-01-24 09:28:25,2021-01-31 04:55:30
85,tonaytoni,tjhinfar21,48,2021-01-24 09:28:25,2021-01-31 04:55:30
86,tonaytoni,ketanminis,48,2021-01-24 09:28:25,2021-01-31 04:55:30
87,ktepalk,kotaajibarang,49,2021-01-24 09:45:22,2021-01-31 04:55:30
88,tolakbigotnkri,suaramuda98,50,2021-01-24 09:49:13,2021-01-31 04:55:30
89,tolakbigotnkri,ririjreeng,50,2021-01-24 09:49:13,2021-01-31 04:55:30
90,tolakbigotnkri,suharso_m,50,2021-01-24 09:49:13,2021-01-31 04:55:30
91,tolakbigotnkri,je_ly,50,2021-01-24 09:49:13,2021-01-31 04:55:30
92,tolakbigotnkri,b1g_k4y_r3born,50,2021-01-24 09:49:13,2021-01-31 04:55:30
93,ronal_ys,changeorg_id,51,2021-01-24 09:56:21,2021-01-31 04:55:30
94,dppknpiofficial,jacksonkumaat,52,2021-01-24 10:22:03,2021-01-31 04:55:30
95,dppknpiofficial,harisknpi,52,2021-01-24 10:22:03,2021-01-31 04:55:30
96,dppknpiofficial,natalius_pigai,52,2021-01-24 10:22:03,2021-01-31 04:55:30
97,gpnasdempapua,nasdem,53,2021-01-24 10:34:36,2021-01-31 04:55:30
98,bringas3006,jokowi,54,2021-01-24 12:04:09,2021-01-31 04:55:30
99,tribuntimur,tribuntimur,55,2021-01-24 14:31:35,2021-01-31 04:55:30
100,rmolbantencom,kota_tangerang,56,2021-01-24 15:07:39,2021-01-31 04:55:30
101,ged0ng,null,57,2021-01-24 16:40:24,2021-01-31 04:55:30
102,heyyyairsss,sociotalker,58,2021-01-24 16:57:12,2021-01-31 04:55:30
103,heyyyairsss,drpriono1,58,2021-01-24 16:57:12,2021-01-31 04:55:30
104,gkowelah,aniesbaswedan,59,2021-01-24 17:38:29,2021-01-31 04:55:30
105,gkowelah,dpr_ri,59,2021-01-24 17:38:29,2021-01-31 04:55:30
106,gkowelah,sandiuno,59,2021-01-24 17:38:29,2021-01-31 04:55:30
107,gkowelah,divhumas_polri,59,2021-01-24 17:38:29,2021-01-31 04:55:30
108,gkowelah,jokowi,59,2021-01-24 17:38:29,2021-01-31 04:55:30
109,ridooetoro1,pemkotmalang,60,2021-01-24 18:00:08,2021-01-31 04:55:30
110,rahman_nashir,kemenkesri,61,2021-01-24 18:22:48,2021-01-31 04:55:30
111,tattyandra,kemenkesri,62,2021-01-24 18:59:20,2021-01-31 04:55:30
112,polda_malut,divhumas_polri,63,2021-01-24 18:59:43,2021-01-31 04:55:30
113,polda_malut,polisiselebriti,63,2021-01-24 18:59:43,2021-01-31 04:55:30
114,seaghost_,jokowi,64,2021-01-24 19:00:00,2021-01-31 04:55:30
115,koranbumn,telkomindonesia,65,2021-01-24 19:02:58,2021-01-31 04:55:30
116,koranbumn,kemenbumn,65,2021-01-24 19:02:58,2021-01-31 04:55:30
117,koranbumn,kemkominfo,65,2021-01-24 19:02:58,2021-01-31 04:55:30
118,lgveder,grabid,66,2021-01-24 19:17:14,2021-01-31 04:55:30
119,civitoes,grabid,67,2021-01-24 19:31:00,2021-01-31 04:55:30
120,p_berau,kemenkes_ri,68,2021-01-24 19:38:58,2021-01-31 04:55:30
121,dsutiyanti,jokowi,69,2021-01-24 19:45:00,2021-01-31 04:55:30
122,virgin_97,jokowi,70,2021-01-24 19:46:21,2021-01-31 04:55:30
123,nadinhang,jokowi,71,2021-01-24 19:46:41,2021-01-31 04:55:30
124,makcheryl1,klinikhmc,72,2021-01-24 20:00:59,2021-01-31 04:55:30
125,narkosun,kemenkesri,73,2021-01-24 20:11:46,2021-01-31 04:55:30
126,catatankakihati,jokowi,74,2021-01-24 20:22:16,2021-01-31 04:55:30
127,radarbogorid,radarbogorid,75,2021-01-24 20:34:48,2021-01-31 04:55:30
128,radarbogorid,radarbogorid,76,2021-01-24 20:34:54,2021-01-31 04:55:30
129,narkosun,kemenkesri,77,2021-01-24 20:36:48,2021-01-31 04:55:30
130,kompasdata,yoesepbudianto,78,2021-01-24 20:40:21,2021-01-31 04:55:30
131,kianinara1,jokowi,79,2021-01-24 20:46:08,2021-01-31 04:55:30
132,_leonsr_,kemenkesri,80,2021-01-24 20:48:06,2021-01-31 04:55:30
133,narkosun,kemenkesri,81,2021-01-24 20:51:00,2021-01-31 04:55:30
134,hs_saut,pdi_perjuangan,82,2021-01-24 20:52:30,2021-01-31 04:55:30
135,narkosun,kemenkesri,83,2021-01-24 20:56:40,2021-01-31 04:55:30
136,ged0ng,null,84,2021-01-24 21:00:22,2021-01-31 04:55:30
137,ppidutama_grob,sumarnigrobogan,85,2021-01-24 21:00:53,2021-01-31 04:55:30
138,ppidutama_grob,bpbd_grobogan,85,2021-01-24 21:00:53,2021-01-31 04:55:30
139,ppidutama_grob,moh_sumarsono,85,2021-01-24 21:00:53,2021-01-31 04:55:30
140,ppidutama_grob,dinkes_grobogan,85,2021-01-24 21:00:53,2021-01-31 04:55:30
141,diskominfo_grob,dinkes_grobogan,86,2021-01-24 21:01:26,2021-01-31 04:55:30
142,diskominfo_grob,sumarnigrobogan,86,2021-01-24 21:01:26,2021-01-31 04:55:30
143,diskominfo_grob,bpbd_grobogan,86,2021-01-24 21:01:26,2021-01-31 04:55:30
144,diskominfo_grob,moh_sumarsono,86,2021-01-24 21:01:26,2021-01-31 04:55:30
145,tolakbigotnkri,triwul82,87,2021-01-24 21:03:12,2021-01-31 04:55:30
146,tolakbigotnkri,je_ly,87,2021-01-24 21:03:12,2021-01-31 04:55:30
147,tolakbigotnkri,arjuno_ireng01,87,2021-01-24 21:03:12,2021-01-31 04:55:30
148,pejuangcorona,tni_ad,88,2021-01-24 21:07:28,2021-01-31 04:55:30
149,pejuangcorona,tni_ad,89,2021-01-24 21:07:43,2021-01-31 04:55:30
150,humasjabar,uu_ruzhanul,90,2021-01-24 21:07:49,2021-01-31 04:55:30
151,humasjabar,ata_lia,90,2021-01-24 21:07:49,2021-01-31 04:55:30
152,humasjabar,swangsaatmaja,90,2021-01-24 21:07:49,2021-01-31 04:55:30
153,humasjabar,ridwankamil,90,2021-01-24 21:07:49,2021-01-31 04:55:30
154,pejuangcorona,tni_ad,91,2021-01-24 21:08:18,2021-01-31 04:55:30
155,pejuangcorona,tni_ad,92,2021-01-24 21:08:31,2021-01-31 04:55:30
156,_akuk1,jokowi,93,2021-01-24 21:10:55,2021-01-31 04:55:30
157,humas_polsekjtu,humas,94,2021-01-24 21:13:48,2021-01-31 04:55:30
158,humas_polsekjtu,restrotangkot,94,2021-01-24 21:13:48,2021-01-31 04:55:30
159,hs_saut,pdi_perjuangan,95,2021-01-24 21:15:26,2021-01-31 04:55:30
160,tribunbanten,tribunbanten,96,2021-01-24 21:15:51,2021-01-31 04:55:30
161,zebraslawi,kemenkes_ri,97,2021-01-24 21:17:32,2021-01-31 04:55:30
162,aminiskandar,mnownews,98,2021-01-24 21:17:38,2021-01-31 04:55:30
163,rtmcriau,humaspoldariau,99,2021-01-24 21:28:53,2021-01-31 04:55:30
164,rtmcriau,ntmclantaspolri,99,2021-01-24 21:28:53,2021-01-31 04:55:30
165,radioelshinta,kemenkesri,100,2021-01-24 21:30:36,2021-01-31 04:55:30
166,triwul82,kemenkesri,101,2021-01-24 21:31:19,2021-01-31 04:55:30
167,zebraslawi,divhumas_polri,102,2021-01-24 21:32:55,2021-01-31 04:55:30
168,humasgrobogan,bpbd_grobogan,103,2021-01-24 21:44:40,2021-01-31 04:55:30
169,humasgrobogan,dinkes_grobogan,103,2021-01-24 21:44:40,2021-01-31 04:55:30
170,humasgrobogan,moh_sumarsono,103,2021-01-24 21:44:40,2021-01-31 04:55:30
171,humasgrobogan,sumarnigrobogan,103,2021-01-24 21:44:40,2021-01-31 04:55:30
172,rtm_malaysia,jpenerangan,104,2021-01-24 21:45:00,2021-01-31 04:55:30
173,rtm_malaysia,mknjpm,104,2021-01-24 21:45:00,2021-01-31 04:55:30
174,humasgrobogan,moh_sumarsono,105,2021-01-24 21:47:05,2021-01-31 04:55:30
175,humasgrobogan,sumarnigrobogan,105,2021-01-24 21:47:05,2021-01-31 04:55:30
176,humasgrobogan,bpbd_grobogan,105,2021-01-24 21:47:05,2021-01-31 04:55:30
